performer,year,pid
Ashkenazy,1981,9058b-19
Bacha,1997,9166b-09
Barbosa,1983,9174b-19
Biret,1990,9062b-22
Block,1995,9064-02
Brailowsky,1960,9060b-17
Chiu,1999,9048b-22
Clidat,1994,9067-27
Cohen,1997,9069-19
Cortot,1951,9066b-19
Csalog,1996,1263b-19
Czerny.Stefanska,1990,9192b-21
Ezaki,2006,9139b-21
Ferenczy,1958,9097-15
Fliere,1977,9063b-25
Fou,1978,9071-04
Francois,1956,9070b-31
Grinberg,1951,9112-11
Hatto,1993,610003b-23
Hatto,2006,9073b-25
Indjic,1988,9050b-21
Jonas,1947,9096-03
Kapell,1951,9090-26
Kiepura,1999,9098-07
Koczalski,1948,9140-05
Kushner,1989,9118b-25
Luisada,1991,9055b-19
Lushtak,2004,9088-25
Meguri,1997,9137-22
Milkina,1970,9099b-25
Mohovich,1999,9104b-19
Niedzielski,1931,919401-04
Ohlsson,1999,9153b-21
Olejniczac,1990,9100b-08
Rangell,2001,9094b-27
Richter,1976,9172-12
Rubinstein,1939,9049b-19
Rubinstein,1952,9075b-19
Rubinstein,1961,5667285b-10
Rubinstein,1966,9059b-23
Shebanova,2002,9072b-23
Smidowicz,1948,9082-11
Smidowicz,1948,9091-17
Smith,1975,9054b-21
Sofronitsky,1949,9114-34
Sztompka,1959,9170b-21
Tomsic,1995,9190-11
Uninsky,1971,9061b-16
Wasowski,1980,9111b-21
