0, 0, Header, 0, 1, 120
1, 0, Start_track
1, 0, Note_on_c, 2, 53, 92
1, 0, Note_on_c, 2, 60, 92
1, 0, Note_on_c, 3, 69, 95
1, 0, Note_on_c, 3, 72, 95
1, 0, Text_t, "http://mazurka.org.uk/ana/midi/pid9172-12/pid9172-12-avgtapsd0.mid :: MIDI file generated by Craig Stuart Sapp on Tue Jan 11 05:28:26 PST 2011 from http://mazurka.org.uk/info/revcond/pid9172-12/pid9172-12.btime [c36a4fad7b827a5ef877b2ad46732059]"
1, 0, Text_t, "!!!performance-id:\011pid9172-12"
1, 0, Text_t, "!!!title:\011\011Mazurka in F major, Op. 68, No. 3"
1, 0, Text_t, "!!!trials:\011\0111"
1, 0, Text_t, "!!!date: \011\0112007/12/13/"
1, 0, Text_t, "!!!reverse-conductor:\011Craig Stuart Sapp"
1, 0, Text_t, "!!!performer: \011\011Richter"
1, 0, Text_t, "!!!performance-date:\0111976"
1, 0, Text_t, "!!!label:\011\011Doremi DHR-7724"
1, 0, Text_t, "!!!label-title:\011\011Sviatoslav Richter Archives V2: Chopin Recitals 1954-1977"
1, 0, Text_t, "!!!offset:\011\0110"
1, 0, Text_t, "!!!COM: Chopin, Frederic"
1, 0, Text_t, "!!!CDT: 1810///-1849///"
1, 0, Title_t, "!!!OTL: Mazurka in F Major, Op. 68, No. 3"
1, 0, Text_t, "!!!OPS: Op. 68"
1, 0, Text_t, "!!!ONM: No. 3"
1, 0, Text_t, "!!!OMD: Allegro ma non troppo"
1, 0, Text_t, "!!!ODT: ~1830///"
1, 0, Text_t, "!!!PDT: 1855///"
1, 0, Text_t, "!!!PPP: Berlin"
1, 0, Text_t, "!!!AIN: piano"
1, 0, Text_t, "151.899"
1, 0, Text_t, "148"
1, 0, Text_t, "f"
1, 0, Tempo, 394999
1, 90, Note_off_c, 2, 53, 92
1, 90, Note_off_c, 2, 60, 92
1, 90, Note_off_c, 3, 69, 95
1, 90, Note_off_c, 3, 72, 95
1, 90, Note_on_c, 2, 53, 81
1, 90, Note_on_c, 2, 60, 81
1, 90, Note_on_c, 3, 69, 87
1, 90, Note_on_c, 3, 72, 87
1, 120, Note_off_c, 2, 53, 81
1, 120, Note_off_c, 2, 60, 81
1, 120, Note_off_c, 3, 69, 87
1, 120, Note_off_c, 3, 72, 87
1, 120, Note_on_c, 2, 53, 81
1, 120, Note_on_c, 2, 60, 81
1, 120, Note_on_c, 3, 69, 85
1, 120, Note_on_c, 3, 72, 85
1, 120, Text_t, "179.104"
1, 120, Text_t, "543"
1, 120, Tempo, 335001
1, 240, Note_off_c, 2, 53, 81
1, 240, Note_off_c, 2, 60, 81
1, 240, Note_off_c, 3, 69, 85
1, 240, Note_off_c, 3, 72, 85
1, 240, Note_on_c, 2, 53, 81
1, 240, Note_on_c, 2, 60, 81
1, 240, Note_on_c, 3, 69, 86
1, 240, Note_on_c, 3, 77, 86
1, 240, Text_t, "176.471"
1, 240, Text_t, "878"
1, 240, Tempo, 339999
1, 360, Note_off_c, 2, 53, 81
1, 360, Note_off_c, 2, 60, 81
1, 360, Note_off_c, 3, 69, 86
1, 360, Note_off_c, 3, 77, 86
1, 360, Note_on_c, 2, 55, 92
1, 360, Note_on_c, 2, 60, 92
1, 360, Note_on_c, 2, 48, 92
1, 360, Note_on_c, 3, 67, 91
1, 360, Note_on_c, 3, 76, 91
1, 360, Text_t, "153.846"
1, 360, Text_t, "1218"
1, 360, Tempo, 390000
1, 450, Note_off_c, 2, 55, 92
1, 450, Note_off_c, 2, 60, 92
1, 450, Note_off_c, 3, 67, 91
1, 450, Note_off_c, 3, 76, 91
1, 450, Note_on_c, 2, 59, 90
1, 450, Note_on_c, 3, 65, 83
1, 450, Note_on_c, 3, 74, 83
1, 480, Note_off_c, 2, 59, 90
1, 480, Note_off_c, 3, 65, 83
1, 480, Note_off_c, 3, 74, 83
1, 480, Note_on_c, 2, 60, 83
1, 480, Note_on_c, 3, 64, 88
1, 480, Note_on_c, 3, 72, 88
1, 480, Text_t, "176.471"
1, 480, Text_t, "1608"
1, 480, Tempo, 339999
1, 600, Text_t, "1948"
1, 720, Note_off_c, 2, 48, 92
1, 720, Note_off_c, 2, 60, 83
1, 720, Note_off_c, 3, 64, 88
1, 720, Note_off_c, 3, 72, 88
1, 720, Note_on_c, 2, 50, 91
1, 720, Note_on_c, 2, 57, 91
1, 720, Note_on_c, 3, 65, 92
1, 720, Note_on_c, 3, 69, 92
1, 720, Text_t, "157.895"
1, 720, Text_t, "2288"
1, 720, Tempo, 379999
1, 810, Note_off_c, 2, 50, 91
1, 810, Note_off_c, 2, 57, 91
1, 810, Note_off_c, 3, 65, 92
1, 810, Note_off_c, 3, 69, 92
1, 810, Note_on_c, 2, 50, 85
1, 810, Note_on_c, 2, 57, 85
1, 810, Note_on_c, 3, 65, 88
1, 810, Note_on_c, 3, 69, 88
1, 840, Note_off_c, 2, 50, 85
1, 840, Note_off_c, 2, 57, 85
1, 840, Note_off_c, 3, 65, 88
1, 840, Note_off_c, 3, 69, 88
1, 840, Note_on_c, 2, 50, 86
1, 840, Note_on_c, 2, 57, 86
1, 840, Note_on_c, 3, 65, 85
1, 840, Note_on_c, 3, 69, 85
1, 840, Text_t, "181.818"
1, 840, Text_t, "2668"
1, 840, Tempo, 330000
1, 960, Note_off_c, 2, 50, 86
1, 960, Note_off_c, 2, 57, 86
1, 960, Note_off_c, 3, 65, 85
1, 960, Note_off_c, 3, 69, 85
1, 960, Note_on_c, 2, 50, 81
1, 960, Note_on_c, 2, 57, 81
1, 960, Note_on_c, 3, 65, 80
1, 960, Note_on_c, 3, 74, 80
1, 960, Text_t, "2998"
1, 1080, Note_off_c, 2, 50, 81
1, 1080, Note_off_c, 2, 57, 81
1, 1080, Note_off_c, 3, 65, 80
1, 1080, Note_off_c, 3, 74, 80
1, 1080, Note_on_c, 2, 52, 95
1, 1080, Note_on_c, 2, 45, 95
1, 1080, Note_on_c, 3, 64, 89
1, 1080, Note_on_c, 3, 72, 89
1, 1080, Text_t, "157.895"
1, 1080, Text_t, "3328"
1, 1080, Tempo, 379999
1, 1170, Note_off_c, 2, 52, 95
1, 1170, Note_off_c, 3, 64, 89
1, 1170, Note_off_c, 3, 72, 89
1, 1170, Note_on_c, 2, 56, 83
1, 1170, Note_on_c, 3, 62, 86
1, 1170, Note_on_c, 3, 70, 86
1, 1200, Note_off_c, 2, 56, 83
1, 1200, Note_off_c, 3, 62, 86
1, 1200, Note_off_c, 3, 70, 86
1, 1200, Note_on_c, 2, 57, 86
1, 1200, Note_on_c, 3, 60, 83
1, 1200, Note_on_c, 3, 69, 83
1, 1200, Text_t, "179.104"
1, 1200, Text_t, "3708"
1, 1200, Tempo, 335001
1, 1320, Text_t, "4043"
1, 1440, Note_off_c, 2, 45, 95
1, 1440, Note_off_c, 2, 57, 86
1, 1440, Note_off_c, 3, 60, 83
1, 1440, Note_off_c, 3, 69, 83
1, 1440, Note_on_c, 2, 46, 87
1, 1440, Note_on_c, 2, 53, 87
1, 1440, Note_on_c, 3, 62, 92
1, 1440, Note_on_c, 3, 65, 92
1, 1440, Text_t, "166.667"
1, 1440, Text_t, "4378"
1, 1440, Tempo, 359999
1, 1530, Note_off_c, 2, 46, 87
1, 1530, Note_off_c, 2, 53, 87
1, 1530, Note_off_c, 3, 62, 92
1, 1530, Note_off_c, 3, 65, 92
1, 1530, Note_on_c, 2, 46, 81
1, 1530, Note_on_c, 2, 53, 81
1, 1530, Note_on_c, 3, 62, 88
1, 1530, Note_on_c, 3, 65, 88
1, 1560, Note_off_c, 2, 46, 81
1, 1560, Note_off_c, 2, 53, 81
1, 1560, Note_off_c, 3, 62, 88
1, 1560, Note_off_c, 3, 65, 88
1, 1560, Note_on_c, 2, 46, 85
1, 1560, Note_on_c, 2, 53, 85
1, 1560, Note_on_c, 3, 62, 82
1, 1560, Note_on_c, 3, 65, 82
1, 1560, Text_t, "181.818"
1, 1560, Text_t, "4738"
1, 1560, Tempo, 330000
1, 1680, Note_off_c, 2, 46, 85
1, 1680, Note_off_c, 2, 53, 85
1, 1680, Note_off_c, 3, 62, 82
1, 1680, Note_off_c, 3, 65, 82
1, 1680, Note_on_c, 2, 46, 83
1, 1680, Note_on_c, 2, 53, 83
1, 1680, Note_on_c, 3, 62, 88
1, 1680, Note_on_c, 3, 70, 88
1, 1680, Text_t, "171.429"
1, 1680, Text_t, "5068"
1, 1680, Tempo, 349999
1, 1800, Note_off_c, 2, 46, 83
1, 1800, Note_off_c, 2, 53, 83
1, 1800, Note_off_c, 3, 62, 88
1, 1800, Note_off_c, 3, 70, 88
1, 1800, Note_on_c, 2, 41, 94
1, 1800, Note_on_c, 2, 53, 94
1, 1800, Note_on_c, 3, 60, 92
1, 1800, Note_on_c, 3, 69, 92
1, 1800, Text_t, "166.667"
1, 1800, Text_t, "5418"
1, 1800, Tempo, 359999
1, 1890, Note_off_c, 2, 41, 94
1, 1890, Note_off_c, 2, 53, 94
1, 1890, Note_off_c, 3, 60, 92
1, 1890, Note_off_c, 3, 69, 92
1, 1890, Note_on_c, 2, 41, 80
1, 1890, Note_on_c, 2, 53, 80
1, 1890, Note_on_c, 3, 58, 89
1, 1890, Note_on_c, 3, 67, 89
1, 1920, Note_off_c, 2, 41, 80
1, 1920, Note_off_c, 2, 53, 80
1, 1920, Note_off_c, 3, 58, 89
1, 1920, Note_off_c, 3, 67, 89
1, 1920, Note_on_c, 2, 41, 83
1, 1920, Note_on_c, 2, 53, 83
1, 1920, Note_on_c, 3, 57, 90
1, 1920, Note_on_c, 3, 65, 90
1, 1920, Text_t, "181.818"
1, 1920, Text_t, "5778"
1, 1920, Tempo, 330000
1, 2040, Note_off_c, 2, 41, 83
1, 2040, Note_off_c, 2, 53, 83
1, 2040, Note_off_c, 3, 57, 90
1, 2040, Note_off_c, 3, 65, 90
1, 2040, Note_on_c, 2, 46, 84
1, 2040, Note_on_c, 2, 53, 84
1, 2040, Note_on_c, 3, 62, 83
1, 2040, Note_on_c, 3, 70, 83
1, 2040, Text_t, "6108"
1, 2160, Note_off_c, 2, 46, 84
1, 2160, Note_off_c, 2, 53, 84
1, 2160, Note_off_c, 3, 62, 83
1, 2160, Note_off_c, 3, 70, 83
1, 2160, Note_on_c, 2, 53, 91
1, 2160, Note_on_c, 2, 41, 91
1, 2160, Note_on_c, 3, 60, 93
1, 2160, Note_on_c, 3, 69, 93
1, 2160, Text_t, "182.371"
1, 2160, Text_t, "6438"
1, 2160, Tempo, 329000
1, 2250, Note_off_c, 2, 53, 91
1, 2250, Note_off_c, 3, 60, 93
1, 2250, Note_off_c, 3, 69, 93
1, 2250, Note_on_c, 2, 53, 82
1, 2250, Note_on_c, 3, 58, 87
1, 2250, Note_on_c, 3, 67, 87
1, 2280, Note_off_c, 2, 53, 82
1, 2280, Note_off_c, 3, 58, 87
1, 2280, Note_off_c, 3, 67, 87
1, 2280, Note_on_c, 2, 53, 84
1, 2280, Note_on_c, 3, 57, 80
1, 2280, Note_on_c, 3, 65, 80
1, 2280, Text_t, "169.972"
1, 2280, Text_t, "6767"
1, 2280, Tempo, 352999
1, 2400, Note_off_c, 2, 41, 91
1, 2400, Note_off_c, 2, 53, 84
1, 2400, Note_off_c, 3, 57, 80
1, 2400, Note_off_c, 3, 65, 80
