0,0,Header,0,1,120
1,0,Start_track,NA,NA,NA
1,0,Note_on_c,2,53,92
1,0,Note_on_c,2,60,92
1,0,Note_on_c,3,69,95
1,0,Note_on_c,3,72,95
1,0,Text_t,http://mazurka.org.uk/ana/midi/pid9172-12/pid9172-12-avgtapsd0.mid :: MIDI file generated by Craig Stuart Sapp on Tue Jan 11 05:28:26 PST 2011 from http://mazurka.org.uk/info/revcond/pid9172-12/pid9172-12.btime [c36a4fad7b827a5ef877b2ad46732059],NA,NA
1,0,Text_t,!!!performance-id:\011pid9172-12,NA,NA
1,0,Text_t,"!!!title:\011\011Mazurka in F major, Op. 68, No. 3",NA,NA
1,0,Text_t,!!!trials:\011\0111,NA,NA
1,0,Text_t,!!!date: \011\0112007/12/13/,NA,NA
1,0,Text_t,!!!reverse-conductor:\011Craig Stuart Sapp,NA,NA
1,0,Text_t,!!!performer: \011\011Richter,NA,NA
1,0,Text_t,!!!performance-date:\0111976,NA,NA
1,0,Text_t,!!!label:\011\011Doremi DHR-7724,NA,NA
1,0,Text_t,!!!label-title:\011\011Sviatoslav Richter Archives V2: Chopin Recitals 1954-1977,NA,NA
1,0,Text_t,!!!offset:\011\0110,NA,NA
1,0,Text_t,"!!!COM: Chopin, Frederic",NA,NA
1,0,Text_t,!!!CDT: 1810///-1849///,NA,NA
1,0,Title_t,"!!!OTL: Mazurka in F Major, Op. 68, No. 3",NA,NA
1,0,Text_t,!!!OPS: Op. 68,NA,NA
1,0,Text_t,!!!ONM: No. 3,NA,NA
1,0,Text_t,!!!OMD: Allegro ma non troppo,NA,NA
1,0,Text_t,!!!ODT: ~1830///,NA,NA
1,0,Text_t,!!!PDT: 1855///,NA,NA
1,0,Text_t,!!!PPP: Berlin,NA,NA
1,0,Text_t,!!!AIN: piano,NA,NA
1,0,Text_t,151.899,NA,NA
1,0,Text_t,148,NA,NA
1,0,Text_t,f,NA,NA
1,0,Tempo,394999,NA,NA
1,90,Note_off_c,2,53,92
1,90,Note_off_c,2,60,92
1,90,Note_off_c,3,69,95
1,90,Note_off_c,3,72,95
1,90,Note_on_c,2,53,81
1,90,Note_on_c,2,60,81
1,90,Note_on_c,3,69,87
1,90,Note_on_c,3,72,87
1,120,Note_off_c,2,53,81
1,120,Note_off_c,2,60,81
1,120,Note_off_c,3,69,87
1,120,Note_off_c,3,72,87
1,120,Note_on_c,2,53,81
1,120,Note_on_c,2,60,81
1,120,Note_on_c,3,69,85
1,120,Note_on_c,3,72,85
1,120,Text_t,179.104,NA,NA
1,120,Text_t,543,NA,NA
1,120,Tempo,335001,NA,NA
1,240,Note_off_c,2,53,81
1,240,Note_off_c,2,60,81
1,240,Note_off_c,3,69,85
1,240,Note_off_c,3,72,85
1,240,Note_on_c,2,53,81
1,240,Note_on_c,2,60,81
1,240,Note_on_c,3,69,86
1,240,Note_on_c,3,77,86
1,240,Text_t,176.471,NA,NA
1,240,Text_t,878,NA,NA
1,240,Tempo,339999,NA,NA
1,360,Note_off_c,2,53,81
1,360,Note_off_c,2,60,81
1,360,Note_off_c,3,69,86
1,360,Note_off_c,3,77,86
1,360,Note_on_c,2,55,92
1,360,Note_on_c,2,60,92
1,360,Note_on_c,2,48,92
1,360,Note_on_c,3,67,91
1,360,Note_on_c,3,76,91
1,360,Text_t,153.846,NA,NA
1,360,Text_t,1218,NA,NA
1,360,Tempo,390000,NA,NA
1,450,Note_off_c,2,55,92
1,450,Note_off_c,2,60,92
1,450,Note_off_c,3,67,91
1,450,Note_off_c,3,76,91
1,450,Note_on_c,2,59,90
1,450,Note_on_c,3,65,83
1,450,Note_on_c,3,74,83
1,480,Note_off_c,2,59,90
1,480,Note_off_c,3,65,83
1,480,Note_off_c,3,74,83
1,480,Note_on_c,2,60,83
1,480,Note_on_c,3,64,88
1,480,Note_on_c,3,72,88
1,480,Text_t,176.471,NA,NA
1,480,Text_t,1608,NA,NA
1,480,Tempo,339999,NA,NA
1,600,Text_t,1948,NA,NA
1,720,Note_off_c,2,48,92
1,720,Note_off_c,2,60,83
1,720,Note_off_c,3,64,88
